doi,n_xyz_total,n_xyz_matched,n_leaves_total,n_leaves_with_any_label
10.1002/adfm.202111835,6,0,1,0
10.1002/adfm.202111999,1,0,1,0
10.1002/adfm.202112428,3,0,1,0
10.1002/adfm.202112592,2,0,1,0
10.1002/adfm.202112693,1,0,1,0
10.1002/adfm.202112717,1,0,1,0
10.1002/adfm.202113030,2,0,1,0
10.1002/adfm.202113191,7,0,1,0
10.1002/adfm.202200333,1,0,1,0
10.1002/adfm.202200663,2,0,1,0
10.1002/adfm.202200733,8,0,1,0
10.1002/adfm.202200893,1,0,1,0
10.1002/adfm.202201125,1,0,1,0
10.1002/adfm.202201127,4,0,1,0
10.1002/adfm.202201136,2,0,1,0
10.1002/adfm.202201944,4,0,1,0
10.1002/adfm.202202245,8,0,1,0
10.1002/adfm.202202351,1,0,1,0
10.1002/adfm.202202372,2,0,1,0
10.1002/adfm.202202571,1,0,1,0
10.1002/adfm.202202878,2,0,1,0
10.1002/adfm.202203342,2,0,1,0
10.1002/adfm.202203902,2,0,1,0
10.1002/adfm.202204129,2,0,1,0
10.1002/adfm.202204175,3,0,1,0
10.1002/adfm.202204352,5,0,1,0
10.1002/adfm.202204458,1,0,1,0
10.1002/adfm.202205054,1,0,1,0
10.1002/adfm.202205161,1,0,1,0
10.1002/adfm.202205214,1,0,1,0
10.1002/adfm.202205216,1,0,1,0
10.1002/adfm.202205222,1,0,1,0
10.1002/adfm.202205409,8,0,1,0
10.1002/adfm.202205744,1,0,1,0
10.1002/adfm.202205920,2,0,1,0
10.1002/adfm.202206081,2,0,1,0
10.1002/adfm.202206129,3,0,1,0
10.1002/adfm.202206151,1,0,1,0
10.1002/adfm.202206585,1,0,1,0
10.1002/adfm.202206778,2,0,1,0
10.1002/adfm.202206976,6,0,1,0
10.1002/adfm.202207579,4,0,1,0
10.1002/adfm.202207886,33,0,1,0
10.1002/adfm.202207903,1,0,1,0
10.1002/adfm.202208414,1,0,1,0
10.1002/adfm.202208418,1,0,1,0
10.1002/adfm.202208736,1,0,1,0
10.1002/adfm.202208760,1,0,1,0
10.1002/adfm.202208962,2,0,1,0
10.1002/adfm.202209026,1,0,1,0
10.1002/adfm.202209054,1,0,1,0
10.1002/adfm.202209134,1,0,1,0
10.1002/adfm.202209273,1,0,1,0
10.1002/adfm.202209499,1,0,1,0
10.1002/adfm.202209708,2,0,1,0
10.1002/adfm.202209924,2,0,1,0
10.1002/adfm.202209994,1,0,1,0
10.1002/adfm.202210091,1,0,1,0
10.1002/adfm.202210374,1,0,1,0
10.1002/adfm.202210473,2,0,1,0
10.1002/adfm.202210717,1,0,1,0
10.1002/adfm.202210846,12,2,1,1
10.1002/adfm.202210850,3,0,1,0
10.1002/adfm.202210905,1,0,1,0
10.1002/adfm.202210916,1,0,1,0
10.1002/adfm.202210939,2,0,1,0
10.1002/adfm.202211009,2,0,1,0
10.1002/adfm.202211102,1,0,1,0
10.1002/adfm.202211178,1,0,1,0
10.1002/adfm.202211530,4,0,1,0
10.1002/adfm.202211631,6,0,1,0
10.1002/adfm.202211872,1,0,1,0
10.1002/adfm.202211955,1,0,1,0
10.1002/adfm.202212021,1,0,1,0
10.1002/adfm.202212227,3,0,1,0
10.1002/adfm.202212446,1,0,1,0
10.1002/adfm.202212448,2,0,1,0
10.1002/adfm.202212685,2,0,1,0
10.1002/adfm.202212746,1,0,1,0
10.1002/adfm.202212849,4,0,1,0
10.1002/adfm.202212854,1,0,1,0
10.1002/adfm.202212915,1,0,1,0
10.1002/adfm.202213039,2,0,1,0
10.1002/adfm.202213058,2,0,1,0
10.1002/adfm.202213145,2,0,1,0
10.1002/adfm.202213461,4,0,1,0
10.1002/adfm.202213561,1,0,1,0
10.1002/adfm.202213810,1,0,1,0
10.1002/adfm.202213863,1,0,1,0
10.1002/adfm.202213897,2,0,1,0
10.1002/adfm.202213935,1,0,1,0
10.1002/adfm.202214075,3,0,1,0
10.1002/adfm.202214148,5,0,1,0
10.1002/adfm.202214215,4,0,1,0
10.1002/adfm.202214304,1,0,1,0
10.1002/adfm.202214375,1,0,1,0
